Date,Open,High,Low,Close,Volume,Adj Close
1998-04-14,88.69,89.56,87.50,88.44,28476800,16.28
1998-04-13,88.81,89.00,86.75,88.62,33156400,16.31
1998-04-09,87.94,89.62,87.50,89.00,33619200,16.38
1998-04-08,86.75,89.00,86.62,88.94,36793200,16.37
1998-04-07,89.31,90.62,86.75,87.25,62630800,16.06
1998-04-06,92.62,92.62,89.06,89.94,74232000,16.55
1998-04-03,92.00,93.06,91.50,93.00,40987600,17.12
1998-04-02,90.69,91.94,89.87,91.31,41414800,16.81
1998-04-01,89.81,90.62,88.50,90.37,36835600,16.63
1998-03-31,88.62,89.75,88.50,89.50,38177200,16.47
1998-03-30,88.06,88.62,87.12,87.94,27463200,16.19
1998-03-27,89.37,89.37,87.56,87.81,38924000,16.16
1998-03-26,88.50,89.56,87.50,88.25,45441200,16.24
1998-03-25,90.50,90.94,87.25,88.81,124244800,16.35
1998-03-24,84.19,85.06,83.44,84.94,32281600,15.63
1998-03-23,81.19,84.62,81.06,83.87,55050000,15.44
1998-03-20,82.12,83.00,80.50,81.81,56310000,15.06
1998-03-19,81.50,82.31,81.25,82.00,30299200,15.09
1998-03-18,80.06,81.81,79.87,81.75,33887600,15.05
1998-03-17,81.69,81.69,79.69,80.37,53842400,14.79
1998-03-16,82.44,82.75,81.37,82.00,27979600,15.09
1998-03-13,82.44,83.00,81.56,82.37,32542400,15.16
1998-03-12,82.50,82.62,80.81,81.87,47962000,15.07
1998-03-11,82.00,82.00,79.75,80.69,39838800,14.85
1998-03-10,81.19,81.50,79.94,81.50,47406400,15.00
1998-03-09,82.50,82.50,79.50,79.59,52256000,14.65
1998-03-06,80.31,82.75,80.25,82.75,51404800,15.23
1998-03-05,79.25,81.44,79.25,80.06,92255600,14.74
1998-03-04,82.44,83.81,81.56,82.31,71513600,15.15
1998-03-03,82.62,84.56,82.56,84.50,50753600,15.55
1998-03-02,85.87,85.87,83.06,83.31,50093600,15.33
1998-02-27,85.56,86.00,84.56,84.75,47532400,15.60
1998-02-26,85.50,85.69,84.44,85.50,61388000,15.74
1998-02-25,83.44,85.00,83.06,84.94,94944400,15.63
1998-02-24,83.37,84.94,81.87,82.12,118302000,15.12
1998-02-23,80.94,81.69,79.37,81.62,120803600,15.02
1998-02-20,155.50,155.75,152.88,155.13,86092000,14.28
1998-02-19,155.50,156.06,154.25,154.88,73773600,14.25
1998-02-18,154.63,156.00,153.75,154.63,76608800,14.23
1998-02-17,158.50,158.50,153.88,154.38,85673600,14.21
1998-02-13,158.63,158.75,157.38,157.50,42203200,14.49
1998-02-12,158.06,158.94,156.44,158.75,76658400,14.61
1998-02-11,159.38,160.06,157.06,158.94,76460000,14.63
1998-02-10,157.25,159.50,156.75,159.25,48099200,14.66
1998-02-09,158.75,158.88,155.63,157.19,54681600,14.47
1998-02-06,155.38,158.25,155.13,158.13,50070400,14.55
1998-02-05,158.13,158.75,154.75,155.44,67014400,14.31
1998-02-04,155.88,158.00,155.06,156.81,61940800,14.43
1998-02-03,155.13,156.13,153.81,155.88,61374400,14.35
1998-02-02,151.75,155.13,150.50,154.88,98397600,14.25
1998-01-30,148.63,150.00,147.63,149.19,50071200,13.73
1998-01-29,148.94,150.13,147.50,148.25,73571200,13.64
1998-01-28,146.25,149.50,145.50,149.00,79387200,13.71
1998-01-27,142.38,145.88,141.56,145.19,97540800,13.36
